date,startPrice,lowPrice,highPrice,endPrice
20130102,89.5,88.6,89.9,88.7
20130103,89.4,88.7,89.7,89.1
20130104,88.3,87.8,88.9,88
20130107,88,86.7,88,86.8
20130108,86.8,86.5,87.5,87
20130109,87.8,87.2,88.5,87.8
20130110,88.4,87.4,88.6,88.6
20130111,89.5,88.6,89.7,88.6
20130114,88.4,86.6,88.5,87.2
20130115,86.5,84,86.5,84.2
20130116,83.5,83.2,85.1,84
20130117,85,83.7,85.3,83.9
20130118,84.9,84.5,85.4,85.4
20130121,85,84.4,85.2,84.6
20130122,84.8,84.7,85.9,85.4
20130123,86.2,85,86.2,85
20130124,83.5,82.3,83.6,82.5
20130125,82.3,82.2,83.4,83.4
20130128,83.3,83.3,83.8,83.6
20130129,84,83.9,85,84.9
20130130,85.3,84.8,85.4,84.9
20130131,84.3,84.3,84.9,84.4
20130201,84.5,84.1,85,84.6
20130204,84.5,83.8,84.5,84
20130205,83.5,82.8,83.5,83.1
20130206,83.5,83.1,84.5,83.6
20130218,84.8,82.7,84.8,82.8
20130219,83.9,83.4,84.4,84.1
20130220,84.5,84.2,85.1,84.8
20130221,84.7,83.2,84.8,83.2
20130222,82.6,82.6,83.2,83.2
20130223,83.3,82.9,83.6,83.1
20130225,83.2,82.8,83.5,82.8
20130226,82.3,81.7,82.6,81.7
20130227,82.4,81.7,82.5,81.7
20130301,81.7,81.1,82.7,81.6
20130304,81.6,80.3,81.8,80.5
20130305,81,79.7,81.1,80
20130306,80.5,79.8,81.3,80.5
20130307,80.6,80.2,81.5,80.4
20130308,81,80.5,81.3,80.5
20130311,80.5,79.8,80.8,80.5
20130312,80,80,81.2,80.5
20130313,80.5,80,81,80
20130314,80.5,80.1,81.2,80.5
20130315,81.1,80.7,81.5,80.7
20130318,81,81,82.2,81.5
20130319,82.1,81.8,83.7,83.2
20130320,83.5,82,83.5,82.1
20130321,83.2,82.1,83.2,82.1
20130322,82.8,82.6,83.9,82.9
20130325,83.5,82.4,83.7,82.4
20130326,84.2,83.5,84.2,83.5
20130327,84.1,83.3,84.3,83.5
20130328,83.8,82.6,83.8,82.7
20130329,83.5,82.8,83.5,83.3
20130401,83.3,82.7,83.3,82.8
20130402,83.3,82.8,83.5,83.1
20130403,83.3,82.8,83.4,83.1
20130408,81.5,80.7,81.5,80.8
20130409,80.9,80.5,81.2,80.5
20130410,80.9,80.5,81.2,80.6
20130411,80.4,79.8,80.9,80.5
20130412,80.2,78.5,80.5,78.6
20130415,78.5,76.3,78.6,77.1
20130416,76.1,75.5,77.1,77
20130417,77.4,77.4,78.3,77.7
20130418,76.2,75.6,77,76.7
20130419,76.5,76.5,78.5,77.6
20130422,77.6,76.7,77.6,76.9
20130423,76.6,76,76.8,76.2
20130424,76.7,76.6,78.1,78.1
20130425,78,77,78,77.4
20130426,77,76,77.1,76.2
20130429,76.4,75.5,76.7,75.5
20130430,76,76,76.9,76.2
20130502,76.6,75.8,77.4,76.4
20130503,76.8,76.8,77.8,77.5
20130506,78.5,77.9,78.7,77.9
20130507,78.4,77.5,78.4,77.5
20130508,78.2,77.8,79.8,79.8
20130509,81,81,82,81.6
20130510,81.6,80.3,81.7,80.5
20130513,80.8,79.6,81.3,79.6
20130514,80.3,78.9,80.5,79.2
20130515,78.1,77,78.4,78.2
20130516,78.4,77.9,79.2,78.7
20130517,78.2,77.6,78.3,77.6
20130520,77.6,76.9,78.1,77.1
20130521,77.1,77.1,77.9,77.3
20130522,78.4,77.8,78.4,78.3
20130523,78.1,77,78.2,77.1
20130524,77,76.6,77.5,76.9
20130527,77.4,76.8,77.4,77.3
20130528,77.3,77,77.5,77
